,Company,TypeName,Ram,OpSys,Weight,Price,Touchscreen,Ips,Cpu_brand,HDD,SSD
0,1,1,8,1,1.37,71378.6832,0,1,1,0,128
1,1,1,8,1,1.34,47895.5232,0,0,1,0,0
2,2,2,8,2,1.86,30636.0,0,0,1,0,256
3,1,1,16,1,1.83,135195.33599999998,0,1,2,0,512
4,1,1,8,1,1.37,96095.808,0,1,1,0,256
5,3,2,4,3,2.1,21312.0,0,0,3,500,0
6,1,1,16,4,2.04,114017.6016,0,1,2,0,0
7,1,1,8,1,1.34,61735.536,0,0,1,0,0
8,4,1,16,3,1.3,79653.59999999999,0,0,2,0,512
9,3,1,8,3,1.6,41025.6,0,1,1,0,256
10,2,2,4,2,1.86,20986.992,0,0,1,500,0
11,2,2,4,2,1.86,18381.0672,0,0,4,500,0
12,1,1,16,1,1.83,130001.6016,0,1,2,0,256
13,5,2,4,3,2.2,26581.392,0,0,4,0,256
14,1,1,8,1,0.92,67260.672,0,1,5,0,256
15,1,1,8,1,1.37,80908.344,0,1,1,0,256
16,5,2,8,3,2.2,39693.6,0,0,2,0,256
17,1,1,16,1,1.83,152274.24,0,1,2,0,512
18,6,2,8,2,2.2,26586.72,0,0,4,1000,0
19,5,1,8,3,1.22,52161.12,1,1,1,0,128
20,4,3,2,3,0.98,10224.432,0,0,5,0,0
21,6,4,8,3,2.5,53226.72,0,1,1,1000,128
22,2,2,4,2,1.86,13746.24,0,0,3,500,0
23,5,5,8,3,1.62,43636.32,1,0,1,0,256
24,2,1,8,3,1.91,35111.52,0,0,2,0,256
25,5,2,4,3,2.3,22305.1392,0,0,4,1000,0
26,1,1,8,4,1.35,58554.72,0,0,1,0,0
27,5,2,8,3,2.2,42624.0,0,0,1,0,256
28,5,1,8,3,1.88,69157.44,0,0,2,0,512
29,2,2,8,3,2.5,47738.88,0,0,1,1000,0
30,7,2,4,3,1.89,13053.0672,0,0,5,0,0
31,4,2,2,3,1.65,10602.72,0,0,3,0,0
32,2,2,4,3,2.71,23389.92,0,0,3,500,0
33,5,1,16,3,1.2,99580.32,1,0,2,0,512
34,1,1,8,4,1.35,53173.44,0,0,1,0,0
35,6,2,4,3,1.44,13266.72,0,0,5,0,0
36,3,2,4,5,2.1,19553.76,0,0,4,1000,0
37,5,2,8,3,2.8,52161.12,0,1,1,1000,128
